identifier,prdkindid,sensor,beginPosition,endPosition,pysical,totalQualityCode,size,processingLevel,version
LANCEMODIS:948996014,29002002,TERRA/MODIS,2020-02-11 02:15:00.000000,2020-02-11 02:20:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.7144041061401,,
LAADS:5173155209,28002002,AQUA(CMR)/MODIS,2020-02-11 05:20:00.000000,2020-02-11 05:25:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.22949314117432,,
LANCEMODIS:949061224,28002002,AQUA(CMR)/MODIS,2020-02-11 05:20:00.000000,2020-02-11 05:25:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,8.22833728790283,,
LAADS:5173104611,29002002,TERRA/MODIS,2020-02-11 02:15:00.000000,2020-02-11 02:20:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.7155523300171,,
LANCEMODIS:949616826,29002002,TERRA/MODIS,2020-02-12 02:55:00.000000,2020-02-12 03:00:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.64359760284424,,
LANCEMODIS:949615488,29002002,TERRA/MODIS,2020-02-12 03:00:00.000000,2020-02-12 03:05:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.3426141738892,,
LAADS:5174904683,28002002,AQUA(CMR)/MODIS,2020-02-12 06:00:00.000000,2020-02-12 06:05:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.8514213562012,,
LANCEMODIS:949677407,28002002,AQUA(CMR)/MODIS,2020-02-12 06:00:00.000000,2020-02-12 06:05:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.8792638778687,,
LAADS:5174691834,29002002,TERRA/MODIS,2020-02-12 02:55:00.000000,2020-02-12 03:00:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.63381576538086,,
LAADS:5174692031,29002002,TERRA/MODIS,2020-02-12 03:00:00.000000,2020-02-12 03:05:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.3387832641602,,
LANCEMODIS:950196424,29002002,TERRA/MODIS,2020-02-13 02:00:00.000000,2020-02-13 02:05:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,16.0664396286011,,
LAADS:5175583078,28002002,AQUA(CMR)/MODIS,2020-02-13 05:05:00.000000,2020-02-13 05:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.2715072631836,,
LANCEMODIS:950251833,28002002,AQUA(CMR)/MODIS,2020-02-13 05:05:00.000000,2020-02-13 05:10:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,11.2845878601074,,
LANCEMODIS:950801850,29002002,TERRA/MODIS,2020-02-14 02:45:00.000000,2020-02-14 02:50:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,15.9375381469727,,
LAADS:5176480364,28002002,AQUA(CMR)/MODIS,2020-02-14 05:50:00.000000,2020-02-14 05:55:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.7976150512695,,
LANCEMODIS:950866282,28002002,AQUA(CMR)/MODIS,2020-02-14 05:50:00.000000,2020-02-14 05:55:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,12.8099794387817,,
LANCEMODIS:951387297,29002002,TERRA/MODIS,2020-02-15 01:50:00.000000,2020-02-15 01:55:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,14.8055763244629,,
LAADS:5178004575,28002002,AQUA(CMR)/MODIS,2020-02-15 04:55:00.000000,2020-02-15 05:00:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,15.3312635421753,,
LANCEMODIS:951442374,28002002,AQUA(CMR)/MODIS,2020-02-15 04:55:00.000000,2020-02-15 05:00:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,15.3526258468628,,
LANCEMODIS:951966829,29002002,TERRA/MODIS,2020-02-16 02:30:00.000000,2020-02-16 02:35:00.000000,Aerosol Particle Radius/Aerosol Optical Thickness/Aerosol Type,,9.68236923217773,,
