City,Date,Cases, Population ,Square km,PopDense,temperature,pm10,humidity,no2
CITY OF MALABON,3/31/2020,2,"365,525.00",19.76,18498.22874,31.9,11,56.2,2.3
CITY OF MALABON,3/3/2020,1,"365,525.00",19.76,18498.22874,25.4,4,75.2,2.1
CITY OF MALABON,3/21/2020,1,"365,525.00",19.76,18498.22874,29,19,68.5,2.8
CITY OF MALABON,5/2/2020,1,"365,525.00",19.76,18498.22874,30.5,10,64.2,5.2
CITY OF MALABON,3/25/2020,2,"365,525.00",19.76,18498.22874,28,9,64,1.9
CITY OF MALABON,3/8/2020,1,"365,525.00",19.76,18498.22874,28.8,12,78,5
CITY OF MALABON,4/16/2020,2,"365,525.00",19.76,18498.22874,29.2,19,75,6
CITY OF MALABON,4/21/2020,2,"365,525.00",19.76,18498.22874,30.5,9,66.8,4.4
CITY OF MALABON,3/19/2020,1,"365,525.00",19.76,18498.22874,28.6,25,70.8,1.4
CITY OF MALABON,3/26/2020,1,"365,525.00",19.76,18498.22874,28.8,12,64.5,2.3
CITY OF MALABON,5/1/2020,2,"365,525.00",19.76,18498.22874,30.2,11,66.2,4.6
CITY OF MALABON,4/28/2020,1,"365,525.00",19.76,18498.22874,29.5,14,68,5.1
CITY OF MALABON,3/9/2020,1,"365,525.00",19.76,18498.22874,28.6,20,78.7,10.1
CITY OF MALABON,3/20/2020,1,"365,525.00",19.76,18498.22874,28.6,11,73.2,3.2
CITY OF MALABON,4/1/2020,1,"365,525.00",19.76,18498.22874,29.8,15,66.7,2.4
CITY OF MALABON,4/12/2020,1,"365,525.00",19.76,18498.22874,28.7,19,77,4.4
CITY OF MANDALUYONG,3/6/2020,2,"300,000.00",11.06,27124.77396,28,12,69.2,2
CITY OF MANDALUYONG,4/4/2020,9,"300,000.00",11.06,27124.77396,28.7,13,64.2,3.2
CITY OF MANDALUYONG,3/28/2020,4,"300,000.00",11.06,27124.77396,29.3,15,68.1,3.2
CITY OF MANDALUYONG,5/10/2020,2,"300,000.00",11.06,27124.77396,30.1,60,73,7.8
CITY OF MANDALUYONG,4/13/2020,4,"300,000.00",11.06,27124.77396,28.6,17,73.6,5.1
