City,Date Onset,Cases, Population ,Square km
CITY OF MANILA,3/8/2020,7," 1,600,000.00 ",42.88
CITY OF MANILA,3/9/2020,11," 1,600,000.00 ",42.88
CITY OF MANILA,4/1/2020,20," 1,600,000.00 ",42.88
CITY OF MANILA,4/10/2020,13," 1,600,000.00 ",42.88
CITY OF MANILA,4/11/2020,8," 1,600,000.00 ",42.88
CITY OF MANILA,4/12/2020,12," 1,600,000.00 ",42.88
CITY OF MANILA,4/13/2020,9," 1,600,000.00 ",42.88
CITY OF MANILA,4/14/2020,11," 1,600,000.00 ",42.88
CITY OF MANILA,4/15/2020,13," 1,600,000.00 ",42.88
CITY OF MANILA,4/16/2020,9," 1,600,000.00 ",42.88
CITY OF MANILA,4/17/2020,4," 1,600,000.00 ",42.88
CITY OF MANILA,4/18/2020,17," 1,600,000.00 ",42.88
CITY OF MANILA,4/19/2020,6," 1,600,000.00 ",42.88
CITY OF MANILA,4/2/2020,12," 1,600,000.00 ",42.88
CITY OF MANILA,4/20/2020,12," 1,600,000.00 ",42.88
CITY OF MANILA,4/21/2020,9," 1,600,000.00 ",42.88
CITY OF MANILA,4/22/2020,2," 1,600,000.00 ",42.88
CITY OF MANILA,4/23/2020,3," 1,600,000.00 ",42.88
CITY OF MANILA,4/24/2020,7," 1,600,000.00 ",42.88
CITY OF MANILA,4/25/2020,6," 1,600,000.00 ",42.88
CITY OF MANILA,4/26/2020,5," 1,600,000.00 ",42.88
CITY OF MANILA,4/27/2020,5," 1,600,000.00 ",42.88
CITY OF MANILA,4/28/2020,7," 1,600,000.00 ",42.88
CITY OF MANILA,4/29/2020,5," 1,600,000.00 ",42.88
CITY OF MANILA,4/3/2020,9," 1,600,000.00 ",42.88
CITY OF MANILA,4/30/2020,4," 1,600,000.00 ",42.88
CITY OF MANILA,4/4/2020,18," 1,600,000.00 ",42.88
CITY OF MANILA,4/5/2020,12," 1,600,000.00 ",42.88
CITY OF MANILA,4/6/2020,16," 1,600,000.00 ",42.88
CITY OF MANILA,4/7/2020,22," 1,600,000.00 ",42.88
CITY OF MANILA,4/8/2020,15," 1,600,000.00 ",42.88
CITY OF MANILA,4/9/2020,18," 1,600,000.00 ",42.88
CITY OF MANILA,5/1/2020,9," 1,600,000.00 ",42.88
CITY OF MANILA,5/10/2020,2," 1,600,000.00 ",42.88
CITY OF MANILA,5/12/2020,2," 1,600,000.00 ",42.88
CITY OF MANILA,5/14/2020,1," 1,600,000.00 ",42.88
